cyan	(179.3582887700535, 83.48214285714285, 87.84313725490196)
bright blue	(198.08219178082194, 59.34959349593496, 96.47058823529412)
green	(124.89795918367346, 87.49999999999999, 65.88235294117646)
pink	(308.5714285714286, 30.701754385964914, 89.41176470588236)
light green	(102.85714285714288, 46.192893401015226, 77.25490196078432)
dark green	(117.96610169491527, 65.55555555555556, 35.294117647058826)
purple	(292.5, 61.068702290076324, 51.37254901960784)
red	(0.0, 82.0627802690583, 87.45098039215686)
puke	(72.45283018867923, 73.10344827586206, 56.86274509803921)
dusty green	(113.07692307692308, 31.70731707317074, 64.31372549019608)
teal	(166.10837438423644, 87.5, 90.98039215686275)
blue	(231.66666666666666, 82.1917808219178, 85.88235294117646)
yellow	(59.67741935483871, 79.14893617021276, 92.15686274509804)
light blue	(218.01526717557255, 53.2520325203252, 96.47058823529412)
brown	(42.61682242990655, 81.67938931297711, 51.37254901960784)
ocean blue	(199.99999999999997, 53.571428571428584, 54.90196078431373)
dark blue	(233.40659340659343, 75.20661157024793, 47.45098039215686)
peach	(22.417582417582416, 40.444444444444436, 88.23529411764706)
